#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	495	13.230	453
13.256	517	13.281	431
13.307	533	13.331	418
13.357	543	13.383	408
13.408	545	13.433	409
13.458	542	13.484	416
13.510	531	13.534	431
13.560	507	13.585	452
13.611	486	13.636	480
13.661	458	13.687	512
13.712	429	13.737	544
13.763	397	13.788	576
13.814	365	13.839	608
13.864	338	13.890	635
13.915	314	13.941	661
13.965	296	13.991	678
14.017	284	14.042	688
14.067	277	14.092	692
14.118	280	14.144	688
14.168	289	14.194	675
14.219	305	14.245	656
14.269	325	14.295	634
14.321	351	14.346	605
14.371	379	14.396	574
14.422	411	14.448	541
14.472	440	14.498	511
14.523	470	14.549	479
14.574	496	14.599	455
14.625	517	14.650	436
14.675	532	14.701	422
14.726	539	14.752	413
14.776	543	14.802	413
14.828	536	14.853	421
14.878	521	14.903	437
14.929	504	14.955	458
14.979	481	15.005	484
15.030	452	15.056	516
15.080	422	15.106	548
15.132	392	15.157	579
15.182	362	15.207	610
15.233	335	15.259	637
15.283	313	15.309	659
15.334	296	15.360	676
15.385	285	15.410	685
15.436	279	15.461	687
15.486	283	15.512	682
15.537	293	15.563	670
15.587	308	15.613	652
15.639	330	15.664	629
15.689	357	15.714	601
15.740	385	15.766	570
15.790	414	15.816	539
15.841	445	15.867	507
15.891	474	15.917	479
15.943	497	15.968	455
15.993	518	16.018	436
16.044	532	16.070	422
16.094	539	16.120	417
16.145	539	16.171	418
16.196	532	16.221	427
16.247	519	16.272	442
16.297	499	16.323	464
16.348	476	16.374	491
16.398	447	16.424	519
16.450	417	16.475	551
16.500	388	16.525	581
16.551	360	16.577	611
16.601	334	16.627	637
16.652	312	16.678	657
16.702	296	16.728	671
16.754	287	16.779	680
16.804	283	16.829	682
16.855	286	16.881	678
16.905	297	16.931	662
16.956	313	16.982	647
17.007	332	17.032	623
17.058	362	17.083	595
17.109	392	17.134	567
17.159	418	17.185	536
17.210	449	17.235	506
17.261	474	17.286	479
17.312	499	17.336	456
17.362	517	17.388	438
17.413	531	17.438	425
17.463	537	17.489	423
17.515	535	17.539	424
17.565	528	17.590	434
17.616	514	17.640	449
17.666	494	17.692	470
17.717	472	17.742	496
17.767	444	17.793	524
17.819	413	17.843	554
17.869	384	17.894	583
17.920	358	17.945	611
17.970	332	17.996	636
18.021	310	18.046	656
18.072	297	18.097	669
18.123	288	18.147	678
18.173	286	18.199	678
18.224	290	18.249	673
18.274	301	18.300	657
18.326	318	18.350	642
18.376	339	18.401	616
18.427	366	18.451	593
18.477	394	18.503	562
18.528	422	18.553	532
18.578	450	18.604	504
18.630	478	18.654	480
18.680	499	18.705	457
18.731	516	18.756	441
18.781	528	18.807	429
18.832	534	18.857	427
18.883	532	18.908	429
18.934	525	18.958	438
18.984	511	19.010	453
19.035	491	19.060	475
19.085	467	19.111	500
19.137	439	19.161	529
19.187	410	19.212	557
19.238	384	19.262	588
19.288	355	19.314	613
19.339	331	19.364	636
19.389	310	19.415	652
19.441	297	19.465	666
19.491	290	19.516	673
19.542	288	19.567	670
19.592	294	19.618	667
19.643	304	19.668	652
19.694	321	19.719	630
19.745	344	19.769	608
19.795	369	19.821	586
19.846	397	19.871	557
19.896	427	19.922	530
19.948	453	19.972	501
19.998	478	20.023	478
20.049	502	20.073	458
20.099	518	20.125	443
20.150	528	20.176	434
20.200	534	20.226	430
20.252	529	20.277	434
20.302	520	20.327	443
20.353	506	20.379	462
20.403	486	20.429	482
20.454	463	20.480	510
20.505	436	20.530	532
20.556	409	20.581	561
20.606	381	20.632	588
20.657	352	20.683	614
