#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	388	13.230	388
13.255	405	13.281	393
13.305	421	13.331	405
13.357	438	13.382	425
13.407	453	13.432	453
13.458	463	13.484	485
13.508	473	13.534	519
13.559	477	13.585	557
13.609	479	13.635	593
13.661	476	13.686	626
13.711	471	13.736	657
13.762	462	13.788	685
13.812	450	13.838	696
13.863	436	13.889	709
13.914	422	13.939	709
13.965	408	13.990	704
14.015	393	14.041	687
14.066	379	14.092	667
14.116	369	14.142	640
14.168	360	14.193	606
14.218	351	14.243	569
14.269	348	14.295	533
14.319	349	14.345	497
14.370	352	14.396	462
14.421	358	14.446	431
14.472	366	14.497	412
14.522	375	14.547	395
14.573	387	14.599	386
14.623	399	14.649	389
14.674	412	14.700	396
14.725	422	14.750	415
14.776	433	14.801	439
14.826	445	14.852	470
14.877	448	14.903	503
14.927	453	14.953	538
14.979	457	15.004	578
15.029	453	15.054	614
15.080	453	15.106	645
15.130	447	15.156	674
15.181	442	15.207	695
15.232	433	15.257	708
15.283	423	15.308	712
15.333	414	15.358	708
15.384	405	15.410	698
15.434	396	15.460	680
15.485	387	15.511	652
15.536	381	15.561	621
15.587	376	15.612	585
15.638	374	15.663	548
15.688	371	15.714	510
15.739	372	15.764	475
15.790	374	15.815	444
15.841	378	15.865	418
15.891	383	15.917	399
15.942	389	15.967	388
15.992	396	16.018	386
16.044	404	16.068	391
16.094	412	16.119	406
16.145	417	16.169	428
16.195	422	16.221	456
16.246	427	16.271	489
16.296	431	16.322	525
16.348	432	16.372	563
16.398	434	16.423	599
16.449	434	16.474	634
16.499	433	16.525	663
16.550	429	16.575	688
16.601	425	16.626	704
16.652	421	16.676	711
16.702	417	16.728	711
16.753	412	16.778	704
16.803	407	16.829	686
16.855	404	16.879	663
16.905	399	16.930	633
16.956	399	16.981	600
17.006	399	17.032	563
17.057	394	17.082	526
17.107	393	17.133	489
17.159	392	17.183	457
17.209	394	17.234	429
17.260	396	17.285	408
17.310	396	17.336	394
17.361	399	17.386	384
17.412	401	17.437	389
17.463	403	17.487	400
17.513	405	17.539	420
17.564	405	17.589	446
17.614	409	17.640	478
17.666	411	17.690	512
17.716	414	17.741	548
17.767	413	17.792	584
17.817	414	17.843	620
17.868	414	17.893	651
17.918	414	17.944	677
17.970	417	17.994	695
18.020	414	18.045	705
18.071	415	18.096	709
18.121	416	18.147	705
18.172	416	18.197	693
18.223	416	18.248	672
18.274	414	18.298	644
18.324	416	18.350	613
18.375	415	18.400	577
18.425	414	18.451	541
18.477	413	18.501	507
18.527	413	18.552	471
18.578	411	18.603	442
18.628	409	18.654	418
18.679	405	18.705	401
18.729	404	18.755	393
18.781	402	18.806	392
18.831	400	18.856	398
18.882	398	18.908	414
18.932	396	18.958	437
18.983	395	19.009	466
19.034	394	19.059	498
19.085	395	19.110	534
19.135	394	19.161	569
19.186	398	19.212	603
19.236	395	19.262	635
19.288	403	19.313	663
19.338	404	19.363	685
19.389	407	19.415	698
19.439	411	19.465	703
19.490	416	19.516	699
19.541	421	19.566	694
19.592	424	19.617	675
19.642	426	19.667	653
19.693	430	19.719	623
19.743	431	19.769	590
19.794	430	19.820	555
19.845	431	19.870	520
19.896	427	19.921	487
19.946	424	19.972	457
19.997	422	20.023	432
20.047	416	20.073	412
20.099	412	20.124	402
20.149	405	20.174	398
20.200	398	20.226	401
20.250	394	20.276	414
20.301	388	20.327	431
20.352	382	20.377	455
20.403	380	20.428	488
20.453	378	20.478	520
20.504	378	20.530	555
20.554	380	20.580	589
20.605	384	20.631	621
20.656	386	20.681	648
20.707	392	20.732	671
20.757	398	20.783	687
20.808	406	20.834	694
20.858	414	20.884	696
20.910	421	20.935	692
20.960	428	20.985	678
21.011	435	21.037	657
21.061	441	21.087	632
21.112	445	21.138	604
21.163	447	21.188	569
21.214	447	21.239	535
21.264	447	21.289	503
21.315	439	21.341	471
21.365	436	21.391	447
21.416	429	21.442	426
21.467	419	21.492	413
21.518	411	21.543	407
21.568	401	21.594	406
21.619	392	21.645	416
21.669	382	21.695	430
21.721	374	21.746	452
21.771	368	21.796	481
21.822	364	21.848	510
21.872	362	21.898	542
21.923	363	21.949	574
21.974	366	21.999	605
22.025	370	22.050	633
22.075	377	22.101	656
22.126	384	22.152	675
22.176	397	22.202	685
22.227	409	22.253	689
22.278	420	22.303	688
22.329	431	22.354	675
22.380	440	22.405	660
22.430	450	22.456	639
22.481	458	22.506	610
22.532	461	22.557	582
22.583	463	22.607	549
22.633	461	22.659	520
22.684	458	22.709	488
22.734	451	22.760	464
22.786	441	22.810	441
22.836	430	22.861	426
22.887	421	22.912	417
22.937	406	22.963	415
22.988	392	23.013	420
23.038	378	23.064	432
23.090	369	23.114	451
23.140	360	23.165	474
23.191	353	23.216	500
23.241	349	23.267	529
23.292	347	23.317	559
23.343	349	23.368	590
23.394	355	23.418	617
23.444	363	23.470	641
23.495	376	23.520	660
23.545	386	23.571	672
23.597	400	23.621	677
23.647	415	23.672	678
23.698	429	23.723	671
23.748	444	23.774	659
23.799	456	23.824	640
23.849	466	23.875	616
23.901	472	23.925	590
23.951	477	23.976	558
24.002	476	24.027	530
24.052	473	24.078	504
24.103	465	24.128	479
24.154	455	24.179	457
24.205	440	24.229	441
24.255	428	24.281	431
24.306	414	24.331	426
24.356	396	24.382	428
24.408	381	24.432	437
24.458	366	24.483	451
24.509	354	24.534	472
24.559	344	24.585	495
24.610	338	24.635	521
24.661	335	24.686	548
24.712	336	24.736	575
24.762	341	24.787	602
24.813	351	24.838	625
24.863	361	24.889	644
24.914	375	24.939	657
24.965	393	24.990	665
25.016	409	25.040	668
25.066	426	25.092	664
25.117	443	25.142	653
25.167	458	25.193	639
25.219	472	25.243	619
25.269	481	25.294	595
25.320	487	25.345	571
25.370	489	25.396	545
25.421	487	25.447	518
25.472	478	25.497	493
25.523	470	25.548	474
25.573	456	25.598	457
25.624	441	25.650	445
25.674	421	25.700	437
25.725	402	25.751	438
25.776	382	25.801	444
25.827	367	25.852	454
25.877	351	25.903	471
25.928	339	25.954	491
25.978	330	26.004	513
26.030	325	26.055	538
26.080	325	26.105	564
26.131	328	26.157	587
26.181	336	26.207	610
26.232	350	26.258	628
26.283	363	26.308	641
26.334	380	26.359	652
26.384	401	26.409	655
26.435	421	26.461	654
26.485	441	26.511	647
26.536	458	26.562	636
26.587	474	26.612	619
26.638	487	26.663	600
26.688	495	26.714	577
26.739	498	26.765	555
26.789	497	26.815	530
26.841	490	26.866	510
26.891	483	26.916	489
26.942	467	26.968	473
26.992	452	27.018	461
27.043	431	27.069	453
27.094	413	27.119	451
27.145	392	27.170	454
27.195	371	27.221	462
27.246	352	27.272	475
27.296	337	27.322	490
27.347	325	27.373	510
27.398	317	27.423	528
27.449	316	27.474	553
27.499	317	27.525	577
27.550	324	27.576	592
27.600	336	27.626	611
27.652	351	27.677	625
27.702	370	27.727	636
27.753	388	27.779	641
27.803	413	27.829	642
27.854	435	27.880	638
27.905	456	27.930	628
27.956	473	27.981	616
28.006	489	28.032	599
28.057	501	28.083	583
28.107	507	28.133	561
28.158	508	28.184	542
28.209	504	28.234	523
28.260	495	28.285	503
28.310	481	28.336	488
28.361	465	28.387	477
28.411	445	28.437	469
28.463	420	28.488	466
28.513	400	28.538	466
28.564	377	28.590	470
28.614	354	28.640	481
28.665	337	28.691	494
28.716	322	28.741	510
28.767	312	28.792	527
28.817	307	28.843	545
28.868	308	28.894	563
28.918	314	28.944	582
28.969	324	28.995	597
29.020	339	29.045	610
29.071	358	29.096	620
29.121	380	29.147	627
29.172	404	29.198	630
29.222	428	29.248	626
29.274	452	29.299	621
29.324	472	29.349	612
29.375	488	29.401	598
29.425	502	29.451	583
29.476	510	29.502	567
29.527	515	29.552	550
29.578	513	29.603	534
29.628	505	29.654	520
29.679	492	29.705	502
29.729	476	29.755	493
29.781	455	29.806	485
29.831	431	29.856	480
29.882	409	29.907	480
29.932	383	29.958	482
29.983	361	30.009	490
30.033	339	30.059	498
30.085	323	30.110	511
30.135	311	30.160	525
30.186	303	30.212	539
30.236	301	30.262	554
30.287	306	30.313	570
30.338	315	30.363	585
30.389	329	30.414	595
30.439	348	30.465	604
30.490	370	30.516	610
30.540	394	30.566	614
30.592	416	30.617	614
30.642	442	30.667	609
30.693	466	30.718	603
30.743	487	30.769	594
30.794	501	30.820	583
30.844	513	30.870	569
30.896	519	30.921	556
30.946	519	30.971	543
30.997	513	31.023	529
31.047	502	31.073	519
31.098	486	31.124	507
31.149	466	31.174	501
31.200	443	31.225	496
31.250	418	31.276	494
31.301	391	31.327	496
31.351	368	31.377	499
31.403	344	31.428	507
31.453	326	31.478	514
31.504	313	31.529	525
31.554	302	31.580	537
31.605	297	31.631	549
31.655	300	31.681	562
31.707	308	31.732	571
31.757	320	31.782	583
31.808	337	31.834	587
31.858	359	31.884	594
31.909	384	31.935	598
31.960	408	31.985	599
32.011	434	32.036	597
32.061	459	32.087	593
32.112	480	32.138	587
32.162	500	32.188	578
32.214	512	32.239	569
32.264	521	32.289	557
32.315	523	32.341	550
32.365	519	32.391	539
32.416	510	32.442	531
32.466	496	32.492	521
32.518	475	32.543	516
32.568	454	32.593	512
32.619	429	32.645	509
32.669	404	32.695	512
32.720	378	32.746	512
32.771	353	32.796	516
32.822	332	32.847	522
32.872	314	32.898	529
32.923	305	32.949	537
32.973	296	32.999	546
33.025	296	33.050	554
33.075	302	33.100	561
33.126	313	33.152	571
33.176	328	33.202	575
33.227	349	33.253	577
33.277	373	33.303	582
33.329	399	33.354	584
33.379	424	33.404	583
33.430	451	33.456	581
33.480	473	33.506	577
33.531	494	33.557	572
33.582	509	33.607	567
33.633	519	33.658	560
33.683	524	33.709	556
33.734	523	33.760	546
33.784	516	33.810	538
33.836	503	33.861	533
33.886	485	33.911	529
33.937	463	33.963	527
33.987	439	34.013	525
34.038	413	34.064	524
34.088	387	34.114	525
34.140	363	34.165	527
34.190	341	34.215	531
34.241	323	34.267	535
34.291	309	34.317	540
34.342	299	34.368	546
34.393	295	34.418	550
34.444	300	34.469	554
34.494	308	34.520	561
34.545	323	34.571	563
34.595	341	34.621	566
34.647	364	34.672	566
34.697	389	34.722	568
34.748	416	34.774	569
34.798	442	34.824	568
34.849	464	34.875	566
34.899	485	34.925	564
34.951	502	34.976	561
35.002	513	35.026	558
35.052	522	35.078	554
35.103	523	35.128	550
35.153	519	35.179	544
35.205	508	35.229	545
35.255	492	35.280	543
35.306	472	35.331	540
35.356	449	35.382	539
35.407	424	35.432	539
35.458	397	35.483	539
35.509	372	35.533	539
35.559	350	35.585	542
35.610	328	35.635	543
35.660	314	35.686	545
35.712	304	35.736	549
35.762	297	35.787	549
35.813	299	35.837	551
35.863	305	35.889	553
35.914	319	35.939	553
35.964	335	35.990	552
36.016	355	36.040	557
36.066	380	36.091	557
36.117	404	36.142	555
36.167	430	36.193	555
36.218	455	36.243	555
36.269	478	36.294	553
36.320	496	36.344	553
36.370	510	36.396	553
36.421	519	36.446	553
36.471	519	36.497	553
36.523	518	36.547	551
36.573	510	36.598	554
36.624	496	36.648	552
36.674	479	36.700	554
36.725	458	36.750	553
36.775	434	36.801	553
36.827	407	36.851	552
36.877	382	36.902	552
36.928	359	36.953	552
36.978	339	37.004	551
37.029	323	37.054	550
37.080	309	37.105	550
37.131	302	37.155	549
37.181	300	37.207	548
37.232	305	37.257	547
37.282	317	37.308	544
37.334	330	37.358	545
37.384	349	37.409	545
37.435	372	37.459	543
37.485	396	37.511	545
37.536	421	37.561	543
37.586	445	37.612	544
37.638	467	37.662	544
37.688	485	37.713	546
37.739	504	37.764	548
37.789	512	37.815	549
37.840	519	37.865	553
37.891	517	37.916	556
37.942	511	37.967	559
37.992	499	38.018	560
38.043	481	38.069	560
38.093	464	38.119	567
38.145	441	38.170	563
38.195	418	38.220	564
38.246	393	38.272	563
38.296	369	38.322	562
38.347	348	38.373	559
38.397	331	38.423	557
38.449	317	38.474	555
38.499	310	38.524	550
38.550	304	38.576	546
38.600	307	38.626	544
38.651	315	38.677	539
38.702	329	38.727	533
38.753	345	38.778	534
38.803	366	38.829	536
38.854	387	38.880	531
38.904	411	38.930	534
38.956	434	38.981	533
39.006	457	39.031	536
39.057	475	39.083	539
39.107	493	39.133	542
39.158	504	39.184	547
39.208	512	39.234	552
39.260	511	39.285	555
39.310	509	39.335	562
39.361	500	39.387	566
39.411	486	39.437	571
39.462	468	39.488	571
39.513	448	39.538	573
39.564	426	39.589	575
39.614	403	39.640	573
39.665	380	39.691	571
39.715	360	39.741	569
39.767	341	39.792	564
39.817	326	39.842	559
39.868	317	39.894	554
39.918	310	39.944	548
39.969	312	39.995	541
40.019	318	40.045	535
40.071	328	40.096	530
40.121	342	40.146	526
40.172	361	40.198	524
40.222	380	40.248	522
40.273	403	40.299	522
40.324	426	40.349	524
40.375	447	40.400	526
40.425	463	40.451	530
40.476	483	40.502	536
40.526	496	40.552	542
40.578	502	40.603	550
40.628	507	40.653	557
40.679	505	40.705	563
40.729	498	40.755	570
40.780	487	40.806	578
40.830	473	40.856	577
40.882	453	40.907	577
40.932	433	40.957	584
40.983	411	41.009	585
41.033	390	41.059	580
41.084	370	41.110	577
41.135	353	41.160	572
41.186	337	41.211	565
41.237	328	41.262	557
41.287	324	41.313	550
41.338	319	41.363	542
41.389	320	41.414	534
41.440	330	41.464	527
41.490	343	41.516	520
41.541	357	41.566	517
41.591	375	41.617	515
41.643	396	41.667	511
41.693	415	41.718	514
41.744	435	41.768	517
41.794	454	41.820	521
41.845	471	41.870	528
41.895	484	41.921	536
41.947	494	41.971	546
41.997	497	42.022	554
42.048	498	42.073	563
42.098	494	42.124	570
42.149	485	42.174	579
42.200	474	42.225	584
42.251	458	42.275	586
42.301	439	42.327	593
42.352	420	42.377	591
42.402	401	42.428	590
42.454	381	42.478	585
42.504	365	42.529	580
42.555	349	42.579	572
42.605	335	42.631	564
42.656	329	42.681	554
42.706	328	42.732	544
42.758	328	42.782	533
42.808	333	42.833	525
42.859	343	42.884	516
42.909	356	42.935	511
42.960	372	42.985	504
43.011	390	43.036	506
43.062	407	43.086	507
43.112	427	43.138	508
43.163	445	43.188	513
43.213	462	43.239	521
43.265	476	43.289	529
43.315	484	43.340	539
43.366	490	43.390	550
