#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:51:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	492	13.231	544
13.256	493	13.282	536
13.307	494	13.332	527
13.357	492	13.383	510
13.409	494	13.433	492
13.459	493	13.484	472
13.510	495	13.535	449
13.560	491	13.586	427
13.611	494	13.636	404
13.662	494	13.687	386
13.713	493	13.737	368
13.763	493	13.789	355
13.814	493	13.839	349
13.864	493	13.890	347
13.916	493	13.940	347
13.966	493	13.991	353
14.017	492	14.042	364
14.067	494	14.093	379
14.118	494	14.143	397
14.168	491	14.194	418
14.220	494	14.244	438
14.270	494	14.295	461
14.321	493	14.346	480
14.371	494	14.397	499
14.422	494	14.447	516
14.473	493	14.498	527
14.524	494	14.548	537
14.574	492	14.600	537
14.625	493	14.650	536
14.675	493	14.701	527
14.727	493	14.751	519
14.777	490	14.802	504
14.828	494	14.853	487
14.878	494	14.904	467
14.929	492	14.955	447
14.979	494	15.005	427
15.031	493	15.056	406
15.081	493	15.106	387
15.132	493	15.158	372
15.182	493	15.208	364
15.233	493	15.259	354
15.284	493	15.309	352
15.335	493	15.360	353
15.385	493	15.411	359
15.436	494	15.462	370
15.486	491	15.512	384
15.538	492	15.563	400
15.588	492	15.613	419
15.639	492	15.665	439
15.689	493	15.715	459
15.740	492	15.766	478
15.791	493	15.816	495
15.842	493	15.867	506
15.892	491	15.917	520
15.943	495	15.969	529
15.993	494	16.019	532
16.044	493	16.070	530
16.095	494	16.120	523
16.146	493	16.171	514
16.196	494	16.222	500
16.247	496	16.273	483
16.297	493	16.323	466
16.349	493	16.374	445
16.399	494	16.424	426
16.450	492	16.476	409
16.500	493	16.526	389
16.551	493	16.577	378
16.602	493	16.627	369
16.653	492	16.678	360
16.703	493	16.728	358
16.754	493	16.780	357
16.804	493	16.830	366
16.855	494	16.881	376
16.906	493	16.931	389
16.957	492	16.982	404
17.007	493	17.033	422
17.058	493	17.084	442
17.108	493	17.134	461
17.160	493	17.185	478
17.210	493	17.235	493
17.261	490	17.287	508
17.311	493	17.337	519
17.362	494	17.388	525
17.413	493	17.438	526
17.464	494	17.489	524
17.514	493	17.539	517
17.565	492	17.591	508
17.615	493	17.641	496
17.666	493	17.692	480
17.717	494	17.742	464
17.768	494	17.793	445
17.818	493	17.844	427
17.869	493	17.895	411
17.919	493	17.945	396
17.971	493	17.996	381
18.021	492	18.046	373
18.072	494	18.098	365
18.122	494	18.148	364
18.173	492	18.199	366
18.224	494	18.249	370
18.275	494	18.300	380
18.325	493	18.351	394
18.376	490	18.402	407
18.426	493	18.452	425
18.477	493	18.503	442
18.528	493	18.553	461
18.579	494	18.604	477
18.630	493	18.655	490
18.680	493	18.706	503
18.731	495	18.756	512
18.782	494	18.807	517
18.833	493	18.857	520
18.883	493	18.909	518
18.934	493	18.959	513
18.984	495	19.010	504
19.036	494	19.060	492
19.086	493	19.111	474
19.137	493	19.162	461
19.187	493	19.213	443
19.238	492	19.263	427
19.288	493	19.314	411
19.340	493	19.364	396
19.390	493	19.415	384
19.441	492	19.466	376
19.491	493	19.517	371
19.542	492	19.567	368
19.593	493	19.618	370
19.644	493	19.668	377
19.694	492	19.720	387
19.745	492	19.770	398
19.795	493	19.821	415
19.847	493	19.871	428
19.897	493	19.922	442
19.948	493	19.973	460
19.998	494	20.024	475
20.049	492	20.074	489
20.099	494	20.125	500
20.151	492	20.175	509
20.201	494	20.226	512
20.252	495	20.277	515
20.302	493	20.328	512
20.353	493	20.378	507
20.404	493	20.429	501
20.455	493	20.479	488
20.505	493	20.531	473
20.556	493	20.581	461
20.606	494	20.632	445
20.658	493	20.682	430
20.708	493	20.733	415
20.759	494	20.784	402
20.809	491	20.835	391
20.860	492	20.885	383
20.911	494	20.936	378
20.962	493	20.986	375
21.012	493	21.037	377
21.063	493	21.088	383
21.113	493	21.139	391
21.164	493	21.189	400
21.215	493	21.240	414
21.266	493	21.290	428
21.316	493	21.342	443
21.367	492	21.392	458
21.417	493	21.443	473
21.469	494	21.493	485
21.519	495	21.544	496
21.570	493	21.595	503
21.620	493	21.646	509
21.671	495	21.697	510
21.722	493	21.747	511
21.773	493	21.798	502
21.823	493	21.848	494
21.874	494	21.900	487
21.924	494	21.950	471
21.975	493	22.001	460
22.026	493	22.051	445
22.077	489	22.102	431
22.127	494	22.153	417
22.178	495	22.204	404
22.228	494	22.254	394
22.280	492	22.305	387
22.330	493	22.355	381
22.381	493	22.407	380
22.431	493	22.457	382
22.482	493	22.508	384
22.533	494	22.558	396
22.584	492	22.609	405
22.634	494	22.659	417
22.685	494	22.711	430
22.735	493	22.761	444
22.786	494	22.812	457
22.837	493	22.862	468
22.888	492	22.913	482
22.938	493	22.964	492
22.989	492	23.015	499
23.039	492	23.065	502
23.091	492	23.116	505
23.141	493	23.166	504
23.192	492	23.218	498
23.242	490	23.268	491
23.293	493	23.319	481
23.344	491	23.369	470
23.395	492	23.420	457
23.445	495	23.471	444
23.496	494	23.522	432
23.546	492	23.572	418
23.597	494	23.623	408
23.648	494	23.673	398
23.699	492	23.724	391
23.749	493	23.775	389
23.800	493	23.826	388
23.850	494	23.876	386
23.902	493	23.927	391
23.952	493	23.977	399
24.003	493	24.029	408
24.053	493	24.079	419
24.104	493	24.130	431
24.155	495	24.180	444
24.206	492	24.231	458
24.256	493	24.282	468
24.307	493	24.333	483
24.357	494	24.383	490
24.408	494	24.434	497
24.459	493	24.484	499
24.510	493	24.535	500
24.560	493	24.586	497
24.611	493	24.637	494
24.661	492	24.687	488
24.713	491	24.738	478
24.763	493	24.788	467
24.814	494	24.840	455
24.864	492	24.890	443
24.915	494	24.941	431
24.966	493	24.991	418
25.017	493	25.042	410
25.067	493	25.093	402
25.118	494	25.144	396
25.168	493	25.194	391
25.219	492	25.245	390
25.270	493	25.295	392
25.321	495	25.346	396
25.371	493	25.397	403
25.422	493	25.448	411
25.472	494	25.498	422
25.524	489	25.549	434
25.574	492	25.599	446
25.625	493	25.651	458
25.675	493	25.701	469
25.726	493	25.752	477
25.777	493	25.802	485
25.828	493	25.853	491
25.878	493	25.904	494
25.929	492	25.955	496
25.979	490	26.005	495
26.031	492	26.056	490
26.081	493	26.106	484
26.132	493	26.157	475
26.182	494	26.208	466
26.233	493	26.259	456
26.283	495	26.309	443
26.335	493	26.360	432
26.385	493	26.410	423
26.436	493	26.462	413
26.486	492	26.512	404
26.537	493	26.563	398
26.588	491	26.613	395
26.639	491	26.664	394
26.689	492	26.715	395
26.740	494	26.766	399
26.790	494	26.816	406
26.842	493	26.867	413
26.892	492	26.917	422
26.943	493	26.968	431
26.993	493	27.019	441
27.044	493	27.070	454
27.094	493	27.120	464
27.146	493	27.171	473
27.196	492	27.221	481
27.247	493	27.273	487
27.297	493	27.323	490
27.348	497	27.374	490
27.399	494	27.424	490
27.450	494	27.475	486
27.500	492	27.526	481
27.551	493	27.577	473
27.601	494	27.627	465
27.653	494	27.678	454
27.703	494	27.728	442
27.754	493	27.779	433
27.804	493	27.830	422
27.855	493	27.881	415
27.905	493	27.931	407
27.957	492	27.982	402
28.007	492	28.032	399
28.058	493	28.084	398
28.108	494	28.134	399
28.159	493	28.185	403
28.210	494	28.235	408
28.261	493	28.286	417
28.311	494	28.337	426
28.362	493	28.388	434
28.412	494	28.438	444
28.464	493	28.489	456
28.514	493	28.539	463
28.565	493	28.591	472
28.615	493	28.641	479
28.666	493	28.692	483
28.716	494	28.742	486
28.768	491	28.793	487
28.818	492	28.843	488
28.869	493	28.895	483
28.919	492	28.945	478
28.970	493	28.996	470
29.021	494	29.046	463
29.072	494	29.097	453
29.122	494	29.148	443
29.173	494	29.199	434
29.223	494	29.249	426
29.275	496	29.300	417
29.325	492	29.350	411
29.376	493	29.402	405
29.426	493	29.452	403
29.477	493	29.503	401
29.527	493	29.553	403
29.579	493	29.604	405
29.629	494	29.654	412
29.680	493	29.706	418
29.730	493	29.756	423
29.781	494	29.807	435
29.832	493	29.857	444
29.883	493	29.908	453
29.933	494	29.959	462
29.984	492	30.010	471
30.034	493	30.060	477
30.086	496	30.111	481
30.136	492	30.161	485
30.187	494	30.213	485
30.237	493	30.263	482
30.288	494	30.314	481
30.338	493	30.364	478
30.390	493	30.415	469
30.440	493	30.465	461
30.491	493	30.517	449
30.541	493	30.567	444
30.592	494	30.618	436
30.643	495	30.668	428
30.694	495	30.719	420
30.744	492	30.770	413
30.795	493	30.821	407
30.845	493	30.871	406
30.897	493	30.922	406
30.947	492	30.972	407
30.998	493	31.024	407
31.048	493	31.074	416
31.099	493	31.125	420
31.149	494	31.175	427
31.201	493	31.226	436
31.252	492	31.276	444
31.302	493	31.328	453
31.353	493	31.378	461
31.403	493	31.429	469
31.455	493	31.479	472
31.505	494	31.530	478
31.556	494	31.581	481
31.606	493	31.632	481
31.657	494	31.682	479
31.708	493	31.733	476
31.759	493	31.783	474
31.809	492	31.835	466
31.860	494	31.885	460
31.910	494	31.936	452
31.962	493	31.986	444
32.012	492	32.037	435
32.063	493	32.087	428
32.113	493	32.139	421
32.164	493	32.189	417
32.214	491	32.240	411
32.266	493	32.290	408
32.316	494	32.341	407
32.367	493	32.392	409
32.417	494	32.443	415
32.468	493	32.493	418
32.519	493	32.544	423
32.570	493	32.594	428
32.620	494	32.646	437
32.671	493	32.696	445
32.721	495	32.747	452
32.773	493	32.797	460
32.823	493	32.848	467
32.874	493	32.898	470
32.924	493	32.950	475
32.975	493	33.000	480
33.025	494	33.051	477
33.077	493	33.101	478
33.127	493	33.152	473
33.178	494	33.203	470
33.228	493	33.254	465
33.279	495	33.304	459
33.330	495	33.355	453
33.381	493	33.405	445
33.431	492	33.457	438
33.482	493	33.507	430
33.532	494	33.558	426
33.584	493	33.608	419
33.634	493	33.659	417
33.685	493	33.709	413
33.735	493	33.761	413
33.786	493	33.811	414
33.836	494	33.862	417
33.888	490	33.912	420
33.938	493	33.963	425
33.989	495	34.014	432
34.039	493	34.065	438
34.090	493	34.115	445
34.141	494	34.166	452
34.192	493	34.217	461
34.242	493	34.268	463
34.293	493	34.319	469
34.343	492	34.369	473
34.395	493	34.420	475
34.445	493	34.470	475
34.496	495	34.522	474
34.546	495	34.572	471
34.597	495	34.623	468
