#Creator: pendulumEventBuffer
#Creation time: Thu Mar 23 10:28:32 2023
#Time	Period	Transit time
#[s]	[s]	[s]
2.134056	2.176079	0.011076
3.222028	2.175842	0.011108
4.309898	2.175607	0.011140
5.397635	2.175361	0.011174
6.485259	2.175137	0.011210
7.572772	2.174916	0.011240
8.660175	2.174702	0.011270
9.747474	2.174489	0.011304
10.834664	2.174263	0.011340
11.921737	2.174018	0.011374
13.008682	2.173770	0.011404
14.095507	2.173555	0.011438
15.182237	2.173328	0.011474
16.268835	2.173095	0.011506
17.355332	2.172869	0.011540
18.441704	2.172653	0.011576
19.527985	2.172455	0.011606
20.614159	2.172241	0.011638
21.700226	2.172025	0.011676
22.786184	2.171820	0.011712
23.872046	2.171622	0.011744
24.957806	2.171417	0.011776
26.043463	2.171206	0.011810
27.129012	2.170996	0.011844
28.214459	2.170784	0.011882
29.299796	2.170586	0.011916
30.385045	2.170398	0.011946
31.470194	2.170200	0.011980
32.555245	2.170020	0.012014
33.640214	2.169848	0.012048
34.725093	2.169660	0.012082
35.809874	2.169474	0.012116
36.894567	2.169273	0.012150
37.979147	2.169073	0.012186
39.063640	2.168900	0.012220
40.148047	2.168726	0.012254
41.232366	2.168546	0.012288
42.316593	2.168363	0.012322
43.400729	2.168186	0.012358
44.484779	2.168011	0.012390
45.568740	2.167833	0.012424
46.652612	2.167651	0.012460
47.736391	2.167480	0.012494
48.820092	2.167309	0.012528
49.903700	2.167130	0.012564
50.987222	2.166959	0.012600
52.070659	2.166796	0.012634
53.154018	2.166639	0.012668
54.237298	2.166469	0.012704
55.320487	2.166300	0.012738
56.403598	2.166134	0.012772
57.486621	2.165971	0.012810
58.569569	2.165827	0.012846
59.652448	2.165656	0.012880
60.735225	2.165457	0.012910
61.817905	2.165292	0.012946
62.900517	2.165155	0.012986
63.983060	2.165013	0.013020
65.065530	2.164875	0.013052
66.147935	2.164734	0.013090
67.230264	2.164585	0.013128
68.312520	2.164441	0.013160
69.394705	2.164296	0.013194
70.476816	2.164146	0.013232
71.558851	2.163994	0.013270
72.640810	2.163850	0.013304
73.722701	2.163715	0.013338
74.804525	2.163574	0.013374
75.886275	2.163429	0.013410
76.967954	2.163285	0.013444
78.049560	2.163139	0.013480
79.131093	2.162989	0.013518
80.212549	2.162836	0.013554
81.293929	2.162688	0.013590
82.375237	2.162551	0.013626
83.456480	2.162423	0.013664
84.537660	2.162282	0.013700
85.618762	2.162123	0.013736
86.699783	2.161992	0.013774
87.780754	2.161880	0.013812
88.861663	2.161748	0.013850
89.942502	2.161618	0.013884
91.023281	2.161474	0.013922
92.103976	2.161330	0.013960
93.184611	2.161185	0.013994
94.265161	2.161050	0.014030
95.345661	2.160935	0.014066
96.426096	2.160811	0.014104
97.506472	2.160696	0.014144
98.586792	2.160570	0.014180
99.667042	2.160437	0.014216
100.747229	2.160324	0.014254
101.827366	2.160210	0.014292
102.907439	2.160078	0.014330
103.987444	2.159960	0.014368
105.067399	2.159853	0.014406
106.147297	2.159724	0.014442
107.227123	2.159598	0.014478
108.306895	2.159479	0.014518
109.386602	2.159352	0.014556
110.466247	2.159230	0.014594
111.545832	2.159119	0.014632
112.625366	2.159014	0.014668
113.704846	2.158901	0.014708
114.784267	2.158786	0.014746
115.863632	2.158678	0.014780
116.942945	2.158561	0.014818
118.022193	2.158453	0.014858
119.101398	2.158339	0.014896
120.180532	2.158216	0.014936
121.259614	2.158116	0.014976
122.338648	2.158011	0.015012
123.417625	2.157898	0.015050
124.496546	2.157790	0.015088
125.575415	2.157680	0.015126
126.654226	2.157574	0.015164
127.732989	2.157475	0.015202
128.811701	2.157379	0.015242
129.890368	2.157283	0.015280
130.968984	2.157176	0.015320
132.047544	2.157054	0.015360
133.126038	2.156942	0.015396
134.204486	2.156846	0.015436
135.282884	2.156753	0.015476
136.361239	2.156665	0.015514
137.439549	2.156555	0.015554
138.517794	2.156447	0.015592
139.595996	2.156354	0.015632
140.674148	2.156261	0.015672
141.752257	2.156165	0.015710
142.830313	2.156061	0.015750
143.908318	2.155962	0.015788
144.986275	2.155867	0.015826
146.064185	2.155769	0.015866
