#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 11:16:27 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	469	13.232	380
13.256	471	13.282	419
13.307	468	13.333	458
13.358	470	13.383	501
13.409	469	13.434	543
13.459	470	13.484	584
13.510	471	13.536	619
13.560	470	13.586	651
13.611	469	13.637	675
13.662	471	13.687	690
13.713	471	13.738	692
13.763	471	13.789	690
13.814	470	13.840	674
13.864	470	13.890	652
13.916	471	13.941	628
13.966	470	13.991	590
14.017	470	14.043	549
14.067	470	14.093	507
14.118	469	14.144	465
14.169	470	14.194	424
14.220	469	14.245	388
14.270	470	14.295	356
14.321	469	14.347	335
14.371	471	14.397	321
14.422	470	14.448	318
14.473	470	14.498	322
14.524	470	14.549	334
14.575	470	14.600	358
14.625	470	14.651	388
14.676	470	14.701	422
14.727	471	14.752	463
14.778	471	14.802	504
14.828	471	14.854	546
14.879	469	14.904	585
14.929	471	14.955	622
14.981	472	15.005	650
15.031	471	15.056	671
15.082	471	15.106	683
15.132	470	15.158	688
15.183	470	15.208	684
15.233	471	15.259	670
15.285	471	15.309	647
15.335	473	15.360	618
15.386	471	15.411	582
15.436	471	15.462	543
15.487	471	15.512	505
15.538	471	15.563	462
15.589	468	15.613	423
15.639	470	15.665	388
15.690	469	15.715	359
15.740	470	15.766	338
15.792	469	15.816	325
15.842	473	15.867	322
15.893	470	15.918	326
15.943	470	15.969	342
15.994	470	16.019	362
16.044	470	16.070	396
16.096	470	16.120	431
16.146	471	16.171	467
16.197	470	16.222	507
16.247	471	16.273	548
16.298	470	16.323	587
16.349	472	16.374	620
16.400	470	16.424	648
16.450	471	16.476	669
16.501	470	16.526	680
16.551	469	16.577	683
16.603	468	16.627	679
16.653	470	16.678	665
16.704	471	16.729	641
16.754	470	16.780	614
16.805	470	16.830	577
16.855	470	16.881	537
16.907	470	16.931	499
16.957	470	16.982	460
17.008	470	17.033	423
17.058	470	17.084	389
17.109	471	17.134	361
17.160	469	17.185	341
17.211	469	17.235	331
17.261	475	17.287	328
17.312	471	17.337	333
17.362	470	17.388	347
17.414	471	17.438	374
17.464	471	17.489	401
17.515	470	17.540	433
17.565	470	17.591	471
17.616	472	17.642	512
17.666	471	17.692	551
17.718	470	17.743	588
17.768	470	17.793	620
17.819	470	17.845	647
17.869	471	17.895	666
17.920	470	17.946	676
17.971	470	17.996	678
18.022	470	18.047	673
18.072	471	18.098	658
18.123	472	18.149	636
18.173	471	18.199	607
18.225	470	18.250	571
18.275	470	18.300	535
18.326	470	18.352	499
18.376	471	18.402	458
18.427	472	18.453	420
18.478	470	18.503	390
18.529	469	18.554	364
18.579	471	18.604	344
18.630	468	18.656	335
18.680	470	18.706	334
18.731	471	18.757	338
18.782	470	18.807	352
18.833	469	18.858	378
18.883	471	18.909	405
18.934	470	18.960	440
18.984	470	19.010	476
19.036	470	19.061	518
19.086	470	19.111	553
19.137	471	19.163	588
19.187	470	19.213	619
19.238	471	19.264	645
19.289	471	19.314	662
19.340	471	19.365	672
19.390	471	19.415	674
19.441	473	19.467	669
19.491	472	19.517	653
19.542	469	19.568	629
19.593	471	19.618	601
19.644	471	19.669	568
