#Creator: pendulumEventBuffer
#Creation time: Thu Mar 23 10:39:39 2023
#Time	Period	Transit time
#[s]	[s]	[s]
3.223892	2.169553	0.012316
4.308604	2.169331	0.012360
5.393223	2.169169	0.012394
6.477773	2.168998	0.012426
7.562221	2.168836	0.012458
8.646609	2.168674	0.012494
9.730895	2.168537	0.012526
10.815146	2.168382	0.012556
11.899277	2.168230	0.012586
12.983376	2.168093	0.012620
14.067370	2.167952	0.012656
15.151328	2.167792	0.012688
16.235162	2.167652	0.012720
17.318980	2.167508	0.012752
18.402670	2.167350	0.012784
19.486330	2.167210	0.012816
20.569880	2.167061	0.012852
21.653391	2.166880	0.012886
22.736760	2.166702	0.012916
23.820093	2.166526	0.012950
24.903286	2.166361	0.012984
25.986454	2.166205	0.013016
27.069491	2.166038	0.013050
28.152492	2.165901	0.013084
29.235392	2.165761	0.013116
30.318253	2.165618	0.013150
31.401010	2.165475	0.013184
32.483728	2.165323	0.013216
33.566333	2.165184	0.013250
34.648912	2.165044	0.013284
35.731377	2.164902	0.013318
36.813814	2.164751	0.013352
37.896128	2.164599	0.013384
38.978413	2.164428	0.013418
40.060556	2.164275	0.013464
41.142688	2.164137	0.013492
42.224693	2.163982	0.013514
43.306670	2.163864	0.013552
44.388557	2.163744	0.013586
45.470414	2.163587	0.013620
46.552144	2.163445	0.013656
47.633859	2.163273	0.013686
48.715417	2.163093	0.013718
49.796952	2.162920	0.013756
50.878337	2.162790	0.013790
51.959742	2.162656	0.013824
53.040993	2.162482	0.013858
54.122224	2.162322	0.013896
55.203315	2.162135	0.013934
56.284359	2.161973	0.013970
57.365288	2.161893	0.014008
58.446252	2.161851	0.014044
59.527139	2.161737	0.014078
60.607989	2.161584	0.014114
61.688723	2.161470	0.014150
62.769459	2.161357	0.014190
63.850080	2.161154	0.014228
64.930613	2.161003	0.014258
66.011083	2.160911	0.014294
67.091524	2.160818	0.014332
68.171901	2.160755	0.014366
69.252279	2.160660	0.014402
70.332561	2.160565	0.014438
71.412844	2.160432	0.014472
72.492993	2.160287	0.014506
73.573131	2.160179	0.014542
74.653172	2.160096	0.014576
75.733227	2.160022	0.014610
76.813194	2.159933	0.014648
77.893160	2.159806	0.014684
78.973000	2.159701	0.014716
80.052861	2.159612	0.014754
81.132612	2.159492	0.014792
82.212353	2.159379	0.014826
83.291991	2.159260	0.014862
84.371613	2.159141	0.014898
85.451132	2.159022	0.014932
86.530635	2.158899	0.014966
87.610031	2.158783	0.015002
88.689418	2.158680	0.015036
89.768711	2.158596	0.015074
90.848014	2.158497	0.015112
91.927208	2.158369	0.015144
93.006383	2.158255	0.015182
94.085463	2.158171	0.015218
95.164554	2.158099	0.015256
96.243562	2.158007	0.015304
97.322561	2.157899	0.015338
98.401461	2.157780	0.015366
99.480341	2.157670	0.015402
100.559131	2.157580	0.015434
101.637921	2.157465	0.015470
102.716596	2.157346	0.015512
103.795267	2.157246	0.015550
104.873842	2.157169	0.015588
105.952436	2.157105	0.015624
107.030947	2.157028	0.015658
108.109464	2.156898	0.015696
109.187845	2.156784	0.015726
110.266248	2.156699	0.015760
111.344544	2.156580	0.015804
112.422828	2.156507	0.015840
113.501051	2.156433	0.015882
114.579261	2.156331	0.015922
115.657382	2.156242	0.015956
116.735503	2.156149	0.015994
117.813531	2.156088	0.016034
118.891591	2.156008	0.016074
119.969539	2.155910	0.016110
121.047501	2.155826	0.016146
122.125365	2.155726	0.016186
123.203227	2.155629	0.016226
124.280994	2.155551	0.016260
125.358778	2.155466	0.016296
126.436460	2.155353	0.016336
127.514131	2.155234	0.016374
128.591694	2.155141	0.016412
