#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	217	13.231	327
13.256	216	13.281	320
13.307	223	13.333	320
13.357	241	13.383	329
13.408	264	13.434	349
13.459	294	13.484	378
13.510	332	13.535	412
13.560	371	13.586	450
13.611	411	13.637	489
13.661	454	13.687	532
13.713	490	13.738	572
13.763	525	13.788	610
13.814	552	13.840	642
13.864	572	13.890	667
13.915	581	13.941	683
13.965	583	13.991	690
14.017	576	14.042	689
14.067	559	14.092	680
14.118	536	14.144	660
14.168	506	14.194	634
14.219	469	14.245	600
14.270	430	14.295	562
14.321	391	14.346	520
14.371	353	14.397	479
14.422	313	14.448	437
14.472	281	14.498	401
14.524	257	14.549	368
14.574	238	14.599	344
14.625	229	14.651	326
14.675	228	14.701	319
14.726	235	14.752	322
14.776	252	14.802	331
14.828	274	14.853	355
14.878	305	14.903	381
14.929	339	14.955	415
14.979	375	15.005	454
15.030	416	15.056	496
15.081	455	15.106	537
15.132	489	15.157	578
15.182	520	15.208	614
15.233	545	15.259	646
15.283	563	15.309	672
15.335	571	15.360	684
15.385	572	15.410	691
15.436	565	15.462	688
15.486	549	15.512	678
15.537	526	15.563	657
15.588	497	15.613	630
15.639	463	15.664	596
15.689	426	15.714	557
15.740	391	15.766	515
15.790	349	15.816	474
15.841	317	15.867	433
15.892	288	15.917	396
15.943	264	15.968	363
15.993	248	16.019	344
16.044	241	16.070	325
16.094	239	16.120	318
16.146	245	16.171	323
16.196	261	16.221	335
16.247	283	16.273	357
16.297	311	16.323	385
16.348	344	16.374	421
16.399	378	16.424	460
16.450	416	16.475	501
16.500	451	16.525	544
16.551	486	16.577	584
16.601	514	16.627	619
16.652	538	16.678	650
16.703	554	16.728	671
16.754	561	16.779	686
16.805	562	16.830	689
16.855	555	16.881	687
16.906	540	16.931	676
16.957	519	16.982	653
17.008	490	17.032	626
17.058	458	17.084	590
17.109	427	17.134	551
17.159	390	17.185	508
17.211	356	17.235	467
17.261	323	17.286	428
17.312	294	17.336	391
17.362	272	17.388	359
17.413	256	17.438	337
17.463	248	17.489	325
17.515	248	17.539	321
17.565	254	17.590	325
17.616	270	17.641	340
17.666	292	17.692	362
17.717	316	17.742	392
17.768	348	17.793	428
17.819	381	17.843	467
17.869	416	17.895	512
17.920	449	17.945	552
17.970	481	17.996	591
18.022	508	18.046	627
18.072	530	18.097	653
18.123	545	18.148	674
18.173	553	18.199	686
18.224	555	18.249	689
18.274	546	18.300	684
18.326	532	18.350	670
18.376	511	18.401	648
18.427	486	18.452	618
18.477	456	18.503	579
18.528	424	18.553	541
18.579	390	18.604	500
18.630	357	18.654	461
18.680	327	18.706	420
18.731	302	18.756	386
18.781	280	18.807	358
18.833	265	18.857	336
18.883	257	18.908	325
18.934	257	18.959	323
18.984	262	19.010	329
19.035	276	19.060	345
19.085	296	19.111	369
19.137	321	19.161	399
19.187	351	19.212	436
19.238	382	19.263	475
19.288	415	19.314	518
19.339	446	19.364	558
19.390	475	19.415	596
19.441	501	19.465	630
19.491	522	19.517	656
19.542	536	19.567	674
19.592	546	19.618	686
19.644	546	19.668	687
19.694	541	19.719	680
19.745	527	19.770	665
19.795	508	19.821	641
19.846	484	19.872	610
19.896	455	19.922	574
19.948	424	19.973	531
19.998	393	20.023	492
20.049	361	20.075	452
20.099	333	20.125	415
20.150	309	20.176	381
20.201	288	20.226	355
20.252	273	20.277	336
20.302	265	20.328	327
20.353	263	20.379	326
20.403	270	20.429	334
20.455	280	20.480	352
20.505	301	20.530	376
20.556	324	20.582	410
20.606	351	20.632	444
20.657	380	20.683	481
20.708	412	20.733	526
20.759	443	20.784	566
20.809	473	20.834	602
20.860	497	20.886	633
20.910	517	20.936	658
20.961	531	20.987	676
21.012	540	21.037	683
21.063	541	21.088	683
21.113	534	21.139	676
21.164	523	21.190	659
21.214	504	21.240	633
21.266	482	21.291	602
21.316	455	21.341	564
21.367	425	21.393	526
21.417	396	21.443	486
21.468	366	21.494	446
21.519	337	21.544	410
21.570	313	21.595	379
21.620	294	21.645	354
21.671	278	21.697	337
21.721	270	21.747	329
21.772	270	21.798	331
21.823	273	21.848	341
21.874	286	21.899	361
21.924	304	21.950	385
21.975	324	22.001	418
22.025	351	22.051	454
22.077	380	22.102	493
22.127	410	22.152	534
22.178	439	22.204	571
22.228	466	22.254	607
22.279	491	22.305	637
22.330	512	22.355	659
22.381	525	22.406	674
22.431	534	22.456	680
22.482	535	22.508	679
22.532	531	22.558	669
22.583	520	22.609	650
22.634	503	22.659	625
22.685	481	22.710	593
22.735	456	22.761	555
22.786	428	22.812	517
22.836	398	22.862	479
22.888	369	22.913	440
22.938	344	22.963	405
22.989	317	23.015	376
23.039	298	23.065	354
23.090	284	23.116	339
23.141	276	23.166	336
23.192	274	23.217	339
23.242	277	23.268	349
23.293	288	23.319	366
23.343	306	23.369	397
23.394	325	23.420	429
23.445	351	23.470	463
23.496	376	23.521	502
23.547	409	23.572	540
23.597	437	23.623	578
23.648	463	23.673	610
23.699	486	23.724	638
23.750	508	23.774	659
23.800	521	23.826	672
23.851	531	23.876	676
23.901	532	23.927	672
23.953	528	23.977	658
24.003	518	24.028	640
24.054	502	24.079	614
24.104	481	24.130	582
24.155	458	24.180	546
24.205	430	24.231	508
24.257	400	24.281	471
24.307	370	24.332	435
24.358	346	24.383	403
24.408	321	24.434	376
24.459	302	24.484	355
24.510	288	24.535	344
24.561	279	24.585	338
24.611	276	24.637	344
24.662	280	24.687	357
24.712	290	24.738	379
